time/fps,train/critic_loss,train/learning_rate,train/ent_coef,time/episodes,train/n_updates,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/ent_coef_loss,time/time_elapsed,train/actor_loss
345,0.05052267760038376,0.00075,0.7788378000259399,4,334,0.0,10000,500.0,-2.948244333267212,28,-12.09134578704834
345,,,,8,,0.0,10000,500.0,,28,
345,,,,12,,0.0,10000,500.0,,28,
345,,,,16,,0.0,10000,500.0,,28,
345,,,,20,,0.0,10000,500.0,,28,
328,0.04205453395843506,0.00075,0.5352215766906738,24,834,0.0,20000,500.0,-7.385566234588623,60,-15.844293594360352
328,,,,28,,0.0,20000,500.0,,60,
328,,,,32,,0.0,20000,500.0,,60,
328,,,,36,,0.0,20000,500.0,,60,
328,,,,40,,0.0,20000,500.0,,60,
321,0.027769576758146286,0.00075,0.3678264617919922,44,1334,0.0,30000,500.0,-11.77700138092041,93,-18.8564395904541
321,,,,48,,0.0,30000,500.0,,93,
321,,,,52,,0.0,30000,500.0,,93,
321,,,,56,,0.0,30000,500.0,,93,
320,,,,60,,0.0,30000,500.0,,93,
315,0.0499650239944458,0.00075,0.252841979265213,64,1834,0.0,40000,500.0,-16.128080368041992,126,-20.910747528076172
315,,,,68,,0.0,40000,500.0,,126,
315,,,,72,,0.0,40000,500.0,,126,
315,,,,76,,0.0,40000,500.0,,126,
315,,,,80,,0.0,40000,500.0,,126,
311,0.035179849714040756,0.00075,0.1738150715827942,84,2334,0.0,50000,500.0,-20.629478454589844,160,-21.79056167602539
311,,,,88,,0.0,50000,500.0,,160,
311,,,,92,,0.0,50000,500.0,,160,
311,,,,96,,0.0,50000,500.0,,160,
311,,,,100,,0.0,50000,500.0,,160,
311,0.03239426389336586,0.00075,0.11952380836009979,104,2834,0.0,60000,500.0,-24.940940856933594,192,-22.23278045654297
311,,,,108,,0.0,60000,500.0,,192,
311,,,,112,,0.0,60000,500.0,,192,
311,,,,116,,0.0,60000,500.0,,192,
311,,,,120,,0.0,60000,500.0,,192,
310,0.04482705146074295,0.00075,0.08229169249534607,124,3334,0.0,70000,500.0,-29.295106887817383,225,-22.306488037109375
310,,,,128,,0.0,70000,500.0,,225,
310,,,,132,,0.0,70000,500.0,,225,
310,,,,136,,0.0,70000,500.0,,225,
310,,,,140,,0.0,70000,500.0,,225,
309,0.022736769169569016,0.00075,0.05673210322856903,144,3834,0.0,80000,500.0,-33.245086669921875,258,-22.197874069213867
309,,,,148,,0.0,80000,500.0,,258,
309,,,,152,,0.0,80000,500.0,,258,
309,,,,156,,0.0,80000,500.0,,258,
309,,,,160,,0.0,80000,500.0,,258,
310,0.023622002452611923,0.00075,0.039286255836486816,164,4334,0.0,90000,500.0,-36.968292236328125,290,-21.737585067749023
310,,,,168,,0.0,90000,500.0,,290,
310,,,,172,,0.0,90000,500.0,,290,
310,,,,176,,0.0,90000,500.0,,290,
310,,,,180,,0.0,90000,500.0,,290,
309,0.03666117414832115,0.00075,0.027310959994792938,184,4834,0.0,100000,500.0,-38.325538635253906,322,-20.950761795043945
309,,,,188,,0.0,100000,500.0,,322,
309,,,,192,,0.0,100000,500.0,,323,
309,,,,196,,0.0,100000,500.0,,323,
309,,,,200,,0.0,100000,500.0,,323,
309,0.7743096351623535,0.00075,0.019172722473740578,204,5334,0.0,110000,500.0,-38.85604476928711,355,-20.330461502075195
309,,,,208,,0.0,110000,500.0,,355,
309,,,,212,,0.0,110000,500.0,,355,
309,,,,216,,0.0,110000,500.0,,355,
309,,,,220,,0.0,110000,500.0,,355,
309,0.018726173788309097,0.00075,0.013718132860958576,224,5834,0.0,120000,500.0,-45.264278411865234,388,-20.454021453857422
309,,,,228,,0.0,120000,500.0,,388,
309,,,,232,,0.0,120000,500.0,,388,
308,,,,236,,0.0,120000,500.0,,388,
308,,,,240,,0.0,120000,500.0,,388,
308,5.505995750427246,0.00075,0.010130702517926693,244,6334,0.0,130000,500.0,-36.273712158203125,421,-19.395248413085938
308,,,,248,,0.0,130000,500.0,,421,
308,,,,252,,0.0,130000,500.0,,421,
308,,,,256,,0.0,130000,500.0,,421,
308,,,,260,,0.0,130000,500.0,,421,
308,3.188768148422241,0.00075,0.007524978835135698,264,6834,0.0,140000,500.0,-31.9205322265625,454,-18.870018005371094
308,,,,268,,0.0,140000,500.0,,454,
308,,,,272,,0.0,140000,500.0,,454,
308,,,,276,,0.0,140000,500.0,,454,
308,,,,280,,0.0,140000,500.0,,454,
308,0.017295589670538902,0.00075,0.0058762747794389725,284,7334,0.0,150000,500.0,-28.557538986206055,486,-18.834409713745117
308,,,,288,,0.0,150000,500.0,,486,
308,,,,292,,0.0,150000,500.0,,486,
308,,,,296,,0.0,150000,500.0,,486,
308,,,,300,,0.0,150000,500.0,,486,
308,0.030197735875844955,0.00075,0.004668837878853083,304,7834,0.0,160000,500.0,-15.672810554504395,519,-17.990314483642578
308,,,,308,,0.0,160000,500.0,,519,
308,,,,312,,0.0,160000,500.0,,519,
308,,,,316,,0.0,160000,500.0,,519,
308,,,,320,,0.0,160000,500.0,,519,
