train/critic_loss,time/fps,train/actor_loss,train/n_updates,rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,time/episodes,train/ent_coef,time/time_elapsed,train/ent_coef_loss,time/total_timesteps
0.09008955955505371,319,-12.265692710876465,334,500.0,0.00075,0.0,4,0.7788649797439575,31,-2.947159767150879,10000
,319,,,500.0,,0.0,8,,31,,10000
,319,,,500.0,,0.0,12,,31,,10000
,319,,,500.0,,0.0,16,,31,,10000
,319,,,500.0,,0.0,20,,31,,10000
0.04475841298699379,314,-16.201366424560547,834,500.0,0.00075,0.0,24,0.5352410078048706,63,-7.350213527679443,20000
,314,,,500.0,,0.0,28,,63,,20000
,314,,,500.0,,0.0,32,,63,,20000
,314,,,500.0,,0.0,36,,63,,20000
,314,,,500.0,,0.0,40,,63,,20000
2.4114301204681396,314,-19.069931030273438,1334,500.0,0.00075,0.0,44,0.367855429649353,95,-11.815114974975586,30000
,314,,,500.0,,0.0,48,,95,,30000
,314,,,500.0,,0.0,52,,95,,30000
,314,,,500.0,,0.0,56,,95,,30000
,314,,,500.0,,0.0,60,,95,,30000
0.023611832410097122,313,-20.89944076538086,1834,500.0,0.00075,0.0,64,0.25282683968544006,127,-16.15816879272461,40000
,313,,,500.0,,0.0,68,,127,,40000
,313,,,500.0,,0.0,72,,127,,40000
,313,,,500.0,,0.0,76,,127,,40000
,313,,,500.0,,0.0,80,,127,,40000
0.017584148794412613,310,-22.072784423828125,2334,500.0,0.00075,0.0,84,0.17380037903785706,160,-20.434602737426758,50000
,310,,,500.0,,0.0,88,,160,,50000
,310,,,500.0,,0.0,92,,160,,50000
,310,,,500.0,,0.0,96,,160,,50000
,310,,,500.0,,0.0,100,,160,,50000
0.027027025818824768,309,-22.57457733154297,2834,500.0,0.00075,0.0,104,0.11953763663768768,193,-24.574779510498047,60000
,309,,,500.0,,0.0,108,,193,,60000
,309,,,500.0,,0.0,112,,193,,60000
,309,,,500.0,,0.0,116,,193,,60000
,309,,,500.0,,0.0,120,,193,,60000
3.5610876083374023,307,-22.380338668823242,3334,500.0,0.00075,0.0,124,0.08233380317687988,227,-29.310909271240234,70000
,307,,,500.0,,0.0,128,,227,,70000
,307,,,500.0,,0.0,132,,227,,70000
,307,,,500.0,,0.0,136,,227,,70000
,307,,,500.0,,0.0,140,,227,,70000
0.056991539895534515,306,-22.275127410888672,3834,500.0,0.00075,0.0,144,0.05680442973971367,261,-32.678138732910156,80000
,306,,,500.0,,0.0,148,,261,,80000
,306,,,500.0,,0.0,152,,261,,80000
,306,,,500.0,,0.0,156,,261,,80000
,306,,,500.0,,0.0,160,,261,,80000
0.04142041504383087,305,-22.09833335876465,4334,500.0,0.00075,0.0,164,0.039446573704481125,294,-35.99678039550781,90000
,305,,,500.0,,0.0,168,,294,,90000
,305,,,500.0,,0.0,172,,294,,90000
,305,,,500.0,,0.0,176,,294,,90000
,305,,,500.0,,0.0,180,,294,,90000
0.0716479942202568,306,-21.53837013244629,4834,500.0,0.00075,0.0,184,0.02749548852443695,326,-34.30152893066406,100000
,306,,,500.0,,0.0,188,,326,,100000
,306,,,500.0,,0.0,192,,326,,100000
,306,,,500.0,,0.0,196,,326,,100000
,306,,,500.0,,0.0,200,,326,,100000
0.06163955479860306,305,-21.1304988861084,5334,500.0,0.00075,0.0,204,0.019373001530766487,360,-39.19975280761719,110000
,305,,,500.0,,0.0,208,,360,,110000
,305,,,500.0,,0.0,212,,360,,110000
,305,,,500.0,,0.0,216,,360,,110000
,305,,,500.0,,0.0,220,,360,,110000
3.310248374938965,303,-20.929718017578125,5834,500.0,0.00075,0.0,224,0.01379773486405611,395,-33.8690185546875,120000
,303,,,500.0,,0.0,228,,395,,120000
,303,,,500.0,,0.0,232,,395,,120000
,303,,,500.0,,0.0,236,,395,,120000
,303,,,500.0,,0.0,240,,395,,120000
0.06760568171739578,303,-20.3923397064209,6334,500.0,0.00075,0.0,244,0.010072401724755764,428,-37.780517578125,130000
,303,,,500.0,,0.0,248,,428,,130000
