train/n_updates,time/episodes,train/learning_rate,train/actor_loss,train/critic_loss,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/ent_coef_loss
334,4,0.00075,-12.120485305786133,0.07865273952484131,500.0,10000,0.7788302302360535,0.0,470,21,-2.9371066093444824
,8,,,,500.0,10000,,0.0,469,21,
,12,,,,500.0,10000,,0.0,469,21,
,16,,,,500.0,10000,,0.0,469,21,
,20,,,,500.0,10000,,0.0,469,21,
834,24,0.00075,-16.156070709228516,0.038116276264190674,500.0,20000,0.5352349877357483,0.0,433,46,-7.35444450378418
,28,,,,500.0,20000,,0.0,433,46,
,32,,,,500.0,20000,,0.0,433,46,
,36,,,,500.0,20000,,0.0,433,46,
,40,,,,500.0,20000,,0.0,433,46,
1334,44,0.00075,-18.934459686279297,0.02405216544866562,500.0,30000,0.3678784966468811,0.0,419,71,-11.70097541809082
,48,,,,500.0,30000,,0.0,419,71,
,52,,,,500.0,30000,,0.0,419,71,
,56,,,,500.0,30000,,0.0,419,71,
,60,,,,500.0,30000,,0.0,419,71,
1834,64,0.00075,-20.889514923095703,0.02888086810708046,500.0,40000,0.25282377004623413,0.0,411,97,-16.175601959228516
,68,,,,500.0,40000,,0.0,411,97,
,72,,,,500.0,40000,,0.0,411,97,
,76,,,,500.0,40000,,0.0,411,97,
,80,,,,500.0,40000,,0.0,411,97,
2334,84,0.00075,-21.6464900970459,3.1954166889190674,500.0,50000,0.17379404604434967,0.0,408,122,-20.531068801879883
,88,,,,500.0,50000,,0.0,408,122,
,92,,,,500.0,50000,,0.0,408,122,
,96,,,,500.0,50000,,0.0,408,122,
,100,,,,500.0,50000,,0.0,407,122,
2834,104,0.00075,-22.00855255126953,0.03181330859661102,500.0,60000,0.11950754374265671,1.65,404,148,-24.93598175048828
,108,,,,500.0,60000,,1.65,404,148,
,112,,,,500.0,60000,,1.65,404,148,
,116,,,,500.0,60000,,1.65,404,148,
,120,,,,500.0,60000,,1.65,404,148,
3334,124,0.00075,-22.26629066467285,0.03975633904337883,500.0,70000,0.08229384571313858,1.65,401,174,-29.046110153198242
,128,,,,500.0,70000,,1.65,401,174,
,132,,,,500.0,70000,,1.65,401,174,
,136,,,,500.0,70000,,1.65,401,174,
,140,,,,500.0,70000,,1.65,401,174,
3834,144,0.00075,-22.11601448059082,0.054015204310417175,500.0,80000,0.05682835355401039,1.65,399,200,-33.48187255859375
,148,,,,500.0,80000,,1.65,399,200,
,152,,,,500.0,80000,,1.65,399,200,
,156,,,,500.0,80000,,1.65,399,200,
,160,,,,500.0,80000,,1.65,399,200,
