time/time_elapsed,train/learning_rate,time/fps,time/total_timesteps,train/n_updates,time/episodes,train/critic_loss,train/ent_coef_loss,rollout/ep_len_mean,train/actor_loss,train/ent_coef,rollout/ep_rew_mean
488,,306,150000,,292,,,500.0,,,0.0
488,,306,150000,,296,,,500.0,,,0.0
488,,306,150000,,300,,,500.0,,,0.0
521,0.00075,306,160000,7834,304,0.037154149264097214,3.4742259979248047,500.0,-18.371633529663086,0.004346455913037062,0.0
521,,306,160000,,308,,,500.0,,,0.0
521,,306,160000,,312,,,500.0,,,0.0
521,,306,160000,,316,,,500.0,,,0.0
521,,306,160000,,320,,,500.0,,,0.0
554,0.00075,306,170000,8334,324,0.029079701751470566,-22.610214233398438,500.0,-17.921802520751953,0.0035030629951506853,0.0
554,,306,170000,,328,,,500.0,,,0.0
554,,306,170000,,332,,,500.0,,,0.0
554,,306,170000,,336,,,500.0,,,0.0
554,,306,170000,,340,,,500.0,,,0.0
588,0.00075,306,180000,8834,344,0.02539837174117565,-4.331264495849609,500.0,-17.6369686126709,0.003240296384319663,0.0
588,,306,180000,,348,,,500.0,,,0.0
588,,306,180000,,352,,,500.0,,,0.0
588,,306,180000,,356,,,500.0,,,0.0
588,,305,180000,,360,,,500.0,,,0.0
621,0.00075,305,190000,9334,364,0.024925194680690765,-28.20596694946289,500.0,-17.116247177124023,0.0030366398859769106,0.0
621,,305,190000,,368,,,500.0,,,0.0
621,,305,190000,,372,,,500.0,,,0.0
621,,305,190000,,376,,,500.0,,,0.0
621,,305,190000,,380,,,500.0,,,0.0
654,0.00075,305,200000,9834,384,2.557528495788574,11.467649459838867,500.0,-16.727210998535156,0.0027791026514023542,0.0
654,,305,200000,,388,,,500.0,,,0.0
654,,305,200000,,392,,,500.0,,,0.0
654,,305,200000,,396,,,500.0,,,0.0
654,,305,200000,,400,,,500.0,,,0.0
688,0.00075,305,210000,10334,404,0.07294390350580215,-11.990751266479492,500.0,-16.18844985961914,0.0026565068401396275,0.0
688,,305,210000,,408,,,500.0,,,0.0
688,,305,210000,,412,,,500.0,,,0.0
688,,305,210000,,416,,,500.0,,,0.0
688,,305,210000,,420,,,500.0,,,0.0
720,0.00075,305,220000,10834,424,0.019313640892505646,-3.1032633781433105,500.0,-16.056764602661133,0.0024830829352140427,0.0
720,,305,220000,,428,,,500.0,,,0.0
720,,305,220000,,432,,,500.0,,,0.0
720,,305,220000,,436,,,500.0,,,0.0
720,,305,220000,,440,,,500.0,,,0.0
753,0.00075,305,230000,11334,444,0.02964795008301735,-9.532712936401367,500.0,-15.403263092041016,0.0025599300861358643,0.0
753,,305,230000,,448,,,500.0,,,0.0
753,,305,230000,,452,,,500.0,,,0.0
753,,305,230000,,456,,,500.0,,,0.0
753,,305,230000,,460,,,500.0,,,0.0
785,0.00075,305,240000,11834,464,0.06305725872516632,1.3735389709472656,500.0,-15.196685791015625,0.002380021847784519,0.0
785,,305,240000,,468,,,500.0,,,0.0
785,,305,240000,,472,,,500.0,,,0.0
785,,305,240000,,476,,,500.0,,,0.0
785,,305,240000,,480,,,500.0,,,0.0
819,0.00075,305,250000,12334,484,0.01899304799735546,10.475482940673828,500.0,-15.111373901367188,0.0024866117164492607,0.0
819,,305,250000,,488,,,500.0,,,0.0
819,,305,250000,,492,,,500.0,,,0.0
819,,305,250000,,496,,,500.0,,,0.0
819,,305,250000,,500,,,500.0,,,0.0
852,0.00075,304,260000,12834,504,0.014161444269120693,-2.620542526245117,500.0,-14.825088500976562,0.002304482040926814,0.0
852,,304,260000,,508,,,500.0,,,0.0
852,,304,260000,,512,,,500.0,,,0.0
852,,304,260000,,516,,,500.0,,,0.0
852,,304,260000,,520,,,500.0,,,0.0
885,0.00075,304,270000,13334,524,1.3644380569458008,-5.8422441482543945,500.0,-14.28970718383789,0.002334946533665061,0.0
885,,304,270000,,528,,,500.0,,,0.0
885,,304,270000,,532,,,500.0,,,0.0
885,,304,270000,,536,,,500.0,,,0.0
885,,304,270000,,540,,,500.0,,,0.0
918,0.00075,304,280000,13834,544,1.4440224170684814,22.339839935302734,500.0,-13.624700546264648,0.0023626908659934998,0.0
918,,304,280000,,548,,,500.0,,,0.0
918,,304,280000,,552,,,500.0,,,0.0
918,,304,280000,,556,,,500.0,,,0.0
918,,304,280000,,560,,,500.0,,,0.0
951,0.00075,304,290000,14334,564,0.010392085649073124,-8.71700668334961,500.0,-13.869548797607422,0.0023423489183187485,0.0
951,,304,290000,,568,,,500.0,,,0.0
951,,304,290000,,572,,,500.0,,,0.0
951,,304,290000,,576,,,500.0,,,0.0
951,,304,290000,,580,,,500.0,,,0.0
983,0.00075,305,300000,14834,584,0.06571057438850403,12.034414291381836,500.0,-13.52511215209961,0.0025156938936561346,0.0
983,,305,300000,,588,,,500.0,,,0.0
983,,304,300000,,592,,,500.0,,,0.0
983,,304,300000,,596,,,500.0,,,0.0
983,,304,300000,,600,,,500.0,,,0.0
1016,0.00075,304,310000,15334,604,0.013913983479142189,-3.338700771331787,500.0,-13.04929256439209,0.0022795102559030056,0.0
1016,,304,310000,,608,,,500.0,,,0.0
1016,,304,310000,,612,,,500.0,,,0.0
1016,,304,310000,,616,,,500.0,,,0.0
1016,,304,310000,,620,,,500.0,,,0.0
1050,0.00075,304,320000,15834,624,0.0713738352060318,-17.291282653808594,500.0,-12.587542533874512,0.0022248937748372555,0.0
1050,,304,320000,,628,,,500.0,,,0.0
1050,,304,320000,,632,,,500.0,,,0.0
1050,,304,320000,,636,,,500.0,,,0.0
1050,,304,320000,,640,,,500.0,,,0.0
1083,0.00075,304,330000,16334,644,0.024995794519782066,-12.234013557434082,500.0,-12.718795776367188,0.0021381163969635963,0.0
1083,,304,330000,,648,,,500.0,,,0.0
1083,,304,330000,,652,,,500.0,,,0.0
1083,,304,330000,,656,,,500.0,,,0.0
1083,,304,330000,,660,,,500.0,,,0.0
1115,0.00075,304,340000,16834,664,0.016474096104502678,7.549084663391113,500.0,-12.287303924560547,0.002078005578368902,0.0
1115,,304,340000,,668,,,500.0,,,0.0
1115,,304,340000,,672,,,500.0,,,0.0
1115,,304,340000,,676,,,500.0,,,0.0
1115,,304,340000,,680,,,500.0,,,0.0
1148,0.00075,304,350000,17334,684,0.020833108574151993,-4.47532844543457,500.0,-12.164361953735352,0.002086056862026453,0.0
1148,,304,350000,,688,,,500.0,,,0.0
1148,,304,350000,,692,,,500.0,,,0.0
1148,,304,350000,,696,,,500.0,,,0.0
1148,,304,350000,,700,,,500.0,,,0.0
1181,0.00075,304,360000,17834,704,0.9505308866500854,-6.67765474319458,500.0,-11.783601760864258,0.001994128106161952,0.0
1181,,304,360000,,708,,,500.0,,,0.0
1181,,304,360000,,712,,,500.0,,,0.0
1181,,304,360000,,716,,,500.0,,,0.0
1181,,304,360000,,720,,,500.0,,,0.0
1215,0.00075,304,370000,18334,724,0.02287302538752556,1.9258496761322021,500.0,-11.333152770996094,0.0018223879160359502,0.0
1215,,304,370000,,728,,,500.0,,,0.0
1215,,304,370000,,732,,,500.0,,,0.0
1215,,304,370000,,736,,,500.0,,,0.0
1215,,304,370000,,740,,,500.0,,,0.0
1248,0.00075,304,380000,18834,744,0.012616356834769249,8.515546798706055,500.0,-11.284440994262695,0.0019606328569352627,0.0
1248,,304,380000,,748,,,500.0,,,0.0
1249,,304,380000,,752,,,500.0,,,0.0
1249,,304,380000,,756,,,500.0,,,0.0
1249,,304,380000,,760,,,500.0,,,0.0
1282,0.00075,304,390000,19334,764,0.025728143751621246,-9.5264310836792,500.0,-11.14775276184082,0.0018126759678125381,0.0
1282,,304,390000,,768,,,500.0,,,0.0
1282,,304,390000,,772,,,500.0,,,0.0
1282,,304,390000,,776,,,500.0,,,0.0
1282,,304,390000,,780,,,500.0,,,0.0
1316,0.00075,303,400000,19834,784,1.1397294998168945,-5.918859004974365,500.0,-10.799753189086914,0.0016371813835576177,0.0
1316,,303,400000,,788,,,500.0,,,0.0
1316,,303,400000,,792,,,500.0,,,0.0
1316,,303,400000,,796,,,500.0,,,0.0
1316,,303,400000,,800,,,500.0,,,0.0
1349,0.00075,303,410000,20334,804,0.014511636458337307,0.8828966617584229,500.0,-10.33687686920166,0.0015930773224681616,0.0
1349,,303,410000,,808,,,500.0,,,0.0
1349,,303,410000,,812,,,500.0,,,0.0
1349,,303,410000,,816,,,500.0,,,0.0
1349,,303,410000,,820,,,500.0,,,0.0
1383,0.00075,303,420000,20834,824,0.007683929055929184,4.206504821777344,500.0,-10.340841293334961,0.0015973476693034172,0.0
1383,,303,420000,,828,,,500.0,,,0.0
1383,,303,420000,,832,,,500.0,,,0.0
1383,,303,420000,,836,,,500.0,,,0.0
1383,,303,420000,,840,,,500.0,,,0.0
1416,0.00075,303,430000,21334,844,0.011733702383935452,-7.3237152099609375,500.0,-10.243881225585938,0.0017267684452235699,0.0
1416,,303,430000,,848,,,500.0,,,0.0
1416,,303,430000,,852,,,500.0,,,0.0
1416,,303,430000,,856,,,500.0,,,0.0
1416,,303,430000,,860,,,500.0,,,0.0
1449,0.00075,303,440000,21834,864,0.9473982453346252,-12.687929153442383,500.0,-9.814582824707031,0.0015448973281309009,0.0
1449,,303,440000,,868,,,500.0,,,0.0
1449,,303,440000,,872,,,500.0,,,0.0
1449,,303,440000,,876,,,500.0,,,0.0
1449,,303,440000,,880,,,500.0,,,0.0
1483,0.00075,303,450000,22334,884,0.01691732555627823,-7.848245620727539,500.0,-9.69176197052002,0.0015654315939173102,0.0
1483,,303,450000,,888,,,500.0,,,0.0
1483,,303,450000,,892,,,500.0,,,0.0
1483,,303,450000,,896,,,500.0,,,0.0
1483,,303,450000,,900,,,500.0,,,0.0
1517,0.00075,303,460000,22834,904,0.8085491061210632,-11.808277130126953,500.0,-9.376636505126953,0.0014841038500890136,0.0
1517,,303,460000,,908,,,500.0,,,0.0
1517,,303,460000,,912,,,500.0,,,0.0
1517,,303,460000,,916,,,500.0,,,0.0
1517,,303,460000,,920,,,500.0,,,0.0
1549,0.00075,303,470000,23334,924,0.008163906633853912,-3.797621726989746,500.0,-9.377368927001953,0.0014137329999357462,0.0
1549,,303,470000,,928,,,500.0,,,0.0
1549,,303,470000,,932,,,500.0,,,0.0
1549,,303,470000,,936,,,500.0,,,0.0
1549,,303,470000,,940,,,500.0,,,0.0
1582,0.00075,303,480000,23834,944,0.00957140140235424,-1.740609884262085,500.0,-8.950963020324707,0.0014871102757751942,0.0
1582,,303,480000,,948,,,500.0,,,0.0
1582,,303,480000,,952,,,500.0,,,0.0
1582,,303,480000,,956,,,500.0,,,0.0
1582,,303,480000,,960,,,500.0,,,0.0
1615,0.00075,303,490000,24334,964,0.023518335074186325,5.50090217590332,500.0,-8.960430145263672,0.001499842619523406,0.0
1615,,303,490000,,968,,,500.0,,,0.0
1615,,303,490000,,972,,,500.0,,,0.0
1615,,303,490000,,976,,,500.0,,,0.0
1615,,303,490000,,980,,,500.0,,,0.0
1648,0.00075,303,500000,24834,984,0.0064575327560305595,1.8941237926483154,500.0,-8.688040733337402,0.0013386390637606382,0.0
1648,,303,500000,,988,,,500.0,,,0.0
1648,,303,500000,,992,,,500.0,,,0.0
1648,,303,500000,,996,,,500.0,,,0.0
1648,,303,500000,,1000,,,500.0,,,0.0
1681,0.00075,303,510000,25334,1004,0.010825040750205517,26.3653507232666,500.0,-8.451541900634766,0.001387521275319159,0.0
1681,,303,510000,,1008,,,500.0,,,0.0
1681,,303,510000,,1012,,,500.0,,,0.0
1681,,303,510000,,1016,,,500.0,,,0.0
1681,,303,510000,,1020,,,500.0,,,0.0
1714,0.00075,303,520000,25834,1024,0.00619953777641058,-4.130354404449463,500.0,-8.284523963928223,0.0013385229976847768,0.0
1714,,303,520000,,1028,,,500.0,,,0.0
1714,,303,520000,,1032,,,500.0,,,0.0
1714,,303,520000,,1036,,,500.0,,,0.0
1714,,303,520000,,1040,,,500.0,,,0.0
1747,0.00075,303,530000,26334,1044,0.008280208334326744,2.582594633102417,500.0,-7.878734111785889,0.0013282211730256677,3.65
1747,,303,530000,,1048,,,500.0,,,3.65
1747,,303,530000,,1052,,,500.0,,,3.65
1747,,303,530000,,1056,,,500.0,,,3.65
1747,,303,530000,,1060,,,500.0,,,3.65
1781,0.00075,303,540000,26834,1064,0.0034573948942124844,-1.3733882904052734,500.0,-7.819308280944824,0.0012095575220882893,3.65
1781,,303,540000,,1068,,,500.0,,,3.65
1781,,303,540000,,1072,,,500.0,,,3.65
1781,,303,540000,,1076,,,500.0,,,3.65
1781,,303,540000,,1080,,,500.0,,,3.65
1814,0.00075,303,550000,27334,1084,1.0239989757537842,0.5149188041687012,500.0,-7.521968364715576,0.0010973302414640784,3.65
1814,,303,550000,,1088,,,500.0,,,3.65
1814,,303,550000,,1092,,,500.0,,,3.65
1814,,303,550000,,1096,,,500.0,,,3.65
1814,,303,550000,,1100,,,500.0,,,3.65
1847,0.00075,303,560000,27834,1104,0.0053056771866977215,20.02044677734375,500.0,-7.487124919891357,0.0010347714414820075,3.65
1847,,303,560000,,1108,,,500.0,,,3.65
1847,,303,560000,,1112,,,500.0,,,3.65
1847,,303,560000,,1116,,,500.0,,,3.65
1847,,303,560000,,1120,,,500.0,,,3.65
1879,0.00075,303,570000,28334,1124,0.010416951961815357,1.0750888586044312,500.0,-7.367699146270752,0.0010390829993411899,3.65
1879,,303,570000,,1128,,,500.0,,,3.65
1879,,303,570000,,1132,,,500.0,,,3.65
1879,,303,570000,,1136,,,500.0,,,3.65
1879,,303,570000,,1140,,,500.0,,,3.65
1912,0.00075,303,580000,28834,1144,0.006851546466350555,0.28965485095977783,500.0,-7.119340419769287,0.0010581507813185453,0.0
1912,,303,580000,,1148,,,500.0,,,0.0
1912,,303,580000,,1152,,,500.0,,,0.0
1912,,303,580000,,1156,,,500.0,,,0.0
1912,,303,580000,,1160,,,500.0,,,0.0
1945,0.00075,303,590000,29334,1164,0.003553209826350212,-5.624933242797852,500.0,-6.7740936279296875,0.0010412727715447545,0.0
1945,,303,590000,,1168,,,500.0,,,0.0
1945,,303,590000,,1172,,,500.0,,,0.0
1945,,303,590000,,1176,,,500.0,,,0.0
1945,,303,590000,,1180,,,500.0,,,0.0
1977,0.00075,303,600000,29834,1184,0.013382511213421822,2.6633524894714355,500.0,-6.7171783447265625,0.0011327372631058097,0.0
1977,,303,600000,,1188,,,500.0,,,0.0
1977,,303,600000,,1192,,,500.0,,,0.0
1977,,303,600000,,1196,,,500.0,,,0.0
1977,,303,600000,,1200,,,500.0,,,0.0
2009,0.00075,303,610000,30334,1204,0.009431934915482998,-1.3315331935882568,500.0,-6.644747734069824,0.001194503391161561,0.0
2009,,303,610000,,1208,,,500.0,,,0.0
2009,,303,610000,,1212,,,500.0,,,0.0
2009,,303,610000,,1216,,,500.0,,,0.0
2009,,303,610000,,1220,,,500.0,,,0.0
2041,0.00075,303,620000,30834,1224,0.002035347279161215,2.518454074859619,500.0,-6.52372932434082,0.0011379077332094312,0.0
2041,,303,620000,,1228,,,500.0,,,0.0
2041,,303,620000,,1232,,,500.0,,,0.0
2041,,303,620000,,1236,,,500.0,,,0.0
2041,,303,620000,,1240,,,500.0,,,0.0
2074,0.00075,303,630000,31334,1244,0.0032969557214528322,11.911367416381836,500.0,-6.471707820892334,0.0009786093141883612,0.0
2074,,303,630000,,1248,,,500.0,,,0.0
2074,,303,630000,,1252,,,500.0,,,0.0
2074,,303,630000,,1256,,,500.0,,,0.0
2074,,303,630000,,1260,,,500.0,,,0.0
2106,0.00075,303,640000,31834,1264,0.004959575831890106,5.026432514190674,500.0,-6.214790344238281,0.0009333517518825829,0.0
2106,,303,640000,,1268,,,500.0,,,0.0
2106,,303,640000,,1272,,,500.0,,,0.0
2106,,303,640000,,1276,,,500.0,,,0.0
2106,,303,640000,,1280,,,500.0,,,0.0
2138,0.00075,303,650000,32334,1284,0.0027486036997288465,-4.675466537475586,500.0,-6.148207187652588,0.0009049095096997917,0.0
2138,,303,650000,,1288,,,500.0,,,0.0
2138,,303,650000,,1292,,,500.0,,,0.0
2138,,303,650000,,1296,,,500.0,,,0.0
2138,,303,650000,,1300,,,500.0,,,0.0
2171,0.00075,303,660000,32834,1304,0.5851960182189941,-5.413331508636475,500.0,-5.943275451660156,0.000977358198724687,0.0
2171,,303,660000,,1308,,,500.0,,,0.0
2171,,303,660000,,1312,,,500.0,,,0.0
2171,,303,660000,,1316,,,500.0,,,0.0
2171,,303,660000,,1320,,,500.0,,,0.0
2203,0.00075,304,670000,33334,1324,0.3164900243282318,6.334431171417236,500.0,-5.685766220092773,0.001068148179911077,0.0
2203,,304,670000,,1328,,,500.0,,,0.0
2203,,304,670000,,1332,,,500.0,,,0.0
2203,,304,670000,,1336,,,500.0,,,0.0
2203,,304,670000,,1340,,,500.0,,,0.0
2236,0.00075,304,680000,33834,1344,0.00578747782856226,-3.313819408416748,500.0,-5.650835990905762,0.0009397472022101283,0.0
2236,,304,680000,,1348,,,500.0,,,0.0
2236,,304,680000,,1352,,,500.0,,,0.0
2236,,304,680000,,1356,,,500.0,,,0.0
2236,,304,680000,,1360,,,500.0,,,0.0
2269,0.00075,304,690000,34334,1364,0.003555924165993929,-12.774824142456055,500.0,-5.570866584777832,0.0009138586465269327,0.0
2269,,304,690000,,1368,,,500.0,,,0.0
2269,,304,690000,,1372,,,500.0,,,0.0
2269,,304,690000,,1376,,,500.0,,,0.0
2269,,304,690000,,1380,,,500.0,,,0.0
2301,0.00075,304,700000,34834,1384,0.005042287055402994,1.1911829710006714,500.0,-5.551346778869629,0.000978793133981526,0.0
2301,,304,700000,,1388,,,500.0,,,0.0
2301,,304,700000,,1392,,,500.0,,,0.0
2301,,304,700000,,1396,,,500.0,,,0.0
2301,,304,700000,,1400,,,500.0,,,0.0
2334,0.00075,304,710000,35334,1404,0.17110708355903625,-16.181184768676758,500.0,-5.250481128692627,0.000949924171436578,0.0
2334,,304,710000,,1408,,,500.0,,,0.0
2334,,304,710000,,1412,,,500.0,,,0.0
2334,,304,710000,,1416,,,500.0,,,0.0
2334,,304,710000,,1420,,,500.0,,,0.0
2367,0.00075,304,720000,35834,1424,0.0033879694528877735,5.7501912117004395,500.0,-5.106932640075684,0.0008559091365896165,0.0
2367,,304,720000,,1428,,,500.0,,,0.0
2367,,304,720000,,1432,,,500.0,,,0.0
2367,,304,720000,,1436,,,500.0,,,0.0
2367,,304,720000,,1440,,,500.0,,,0.0
2400,0.00075,304,730000,36334,1444,0.055847227573394775,4.587635040283203,500.0,-5.138004302978516,0.0008257694425992668,0.0
2400,,304,730000,,1448,,,500.0,,,0.0
2400,,304,730000,,1452,,,500.0,,,0.0
2400,,304,730000,,1456,,,500.0,,,0.0
2400,,304,730000,,1460,,,500.0,,,0.0
2433,0.00075,304,740000,36834,1464,0.0030799333471804857,26.40605354309082,500.0,-4.886164665222168,0.001043002586811781,0.0
2433,,304,740000,,1468,,,500.0,,,0.0
2433,,304,740000,,1472,,,500.0,,,0.0
2433,,304,740000,,1476,,,500.0,,,0.0
2433,,304,740000,,1480,,,500.0,,,0.0
2466,0.00075,304,750000,37334,1484,0.04100413620471954,8.564048767089844,500.0,-4.86444091796875,0.0009804361034184694,0.0
2466,,304,750000,,1488,,,500.0,,,0.0
2466,,304,750000,,1492,,,500.0,,,0.0
2466,,304,750000,,1496,,,500.0,,,0.0
2466,,304,750000,,1500,,,500.0,,,0.0
2499,0.00075,304,760000,37834,1504,0.004734523594379425,-4.5771894454956055,500.0,-4.763360023498535,0.0007848014938645065,0.0
2499,,304,760000,,1508,,,500.0,,,0.0
2499,,304,760000,,1512,,,500.0,,,0.0
2499,,304,760000,,1516,,,500.0,,,0.0
2499,,304,760000,,1520,,,500.0,,,0.0
2532,0.00075,304,770000,38334,1524,0.0017649981891736388,-4.778506278991699,500.0,-4.799458980560303,0.0007469830452464521,0.0
2532,,304,770000,,1528,,,500.0,,,0.0
2532,,304,770000,,1532,,,500.0,,,0.0
2532,,304,770000,,1536,,,500.0,,,0.0
2532,,304,770000,,1540,,,500.0,,,0.0
2564,0.00075,304,780000,38834,1544,0.01346571370959282,2.8426733016967773,500.0,-4.689817905426025,0.0007215940277092159,0.0
2564,,304,780000,,1548,,,500.0,,,0.0
2564,,304,780000,,1552,,,500.0,,,0.0
2564,,304,780000,,1556,,,500.0,,,0.0
2564,,304,780000,,1560,,,500.0,,,0.0
2596,0.00075,304,790000,39334,1564,0.002956969430670142,-9.888525009155273,500.0,-4.454277038574219,0.0007141478708945215,0.0
2596,,304,790000,,1568,,,500.0,,,0.0
2596,,304,790000,,1572,,,500.0,,,0.0
2596,,304,790000,,1576,,,500.0,,,0.0
2596,,304,790000,,1580,,,500.0,,,0.0
2629,0.00075,304,800000,39834,1584,0.003063572570681572,-6.793628215789795,500.0,-4.475973129272461,0.0006706309504806995,0.0
2629,,304,800000,,1588,,,500.0,,,0.0
2629,,304,800000,,1592,,,500.0,,,0.0
2629,,304,800000,,1596,,,500.0,,,0.0
2629,,304,800000,,1600,,,500.0,,,0.0
2662,0.00075,304,810000,40334,1604,0.0022045024670660496,44.23896026611328,500.0,-4.387472629547119,0.0007309927605092525,0.0
2662,,304,810000,,1608,,,500.0,,,0.0
2662,,304,810000,,1612,,,500.0,,,0.0
2662,,304,810000,,1616,,,500.0,,,0.0
2662,,304,810000,,1620,,,500.0,,,0.0
2695,0.00075,304,820000,40834,1624,0.012515026144683361,-14.960679054260254,500.0,-4.478263854980469,0.0009082059841603041,0.0
2695,,304,820000,,1628,,,500.0,,,0.0
2695,,304,820000,,1632,,,500.0,,,0.0
2695,,304,820000,,1636,,,500.0,,,0.0
2695,,304,820000,,1640,,,500.0,,,0.0
2728,0.00075,304,830000,41334,1644,0.0013155931374058127,-5.220775604248047,500.0,-4.045901298522949,0.0006842321017757058,0.0
2728,,304,830000,,1648,,,500.0,,,0.0
2728,,304,830000,,1652,,,500.0,,,0.0
2728,,304,830000,,1656,,,500.0,,,0.0
2728,,304,830000,,1660,,,500.0,,,0.0
2761,0.00075,304,840000,41834,1664,0.0036807009018957615,-2.002288341522217,500.0,-4.119930744171143,0.0006494460976682603,0.0
2761,,304,840000,,1668,,,500.0,,,0.0
2761,,304,840000,,1672,,,500.0,,,0.0
2761,,304,840000,,1676,,,500.0,,,0.0
2761,,304,840000,,1680,,,500.0,,,0.0
2794,0.00075,304,850000,42334,1684,0.029829012230038643,4.445343017578125,500.0,-4.125814914703369,0.0006748261512257159,1.56
2794,,304,850000,,1688,,,500.0,,,1.56
2794,,304,850000,,1692,,,500.0,,,1.56
2794,,304,850000,,1696,,,500.0,,,1.56
2794,,304,850000,,1700,,,500.0,,,1.56
2827,0.00075,304,860000,42834,1704,0.0035022192168980837,-3.4169726371765137,500.0,-3.843006134033203,0.0008910365286283195,1.56
2827,,304,860000,,1708,,,500.0,,,1.56
2827,,304,860000,,1712,,,500.0,,,1.56
2827,,304,860000,,1716,,,500.0,,,1.56
2827,,304,860000,,1720,,,500.0,,,1.56
2859,0.00075,304,870000,43334,1724,0.0065092891454696655,-3.1988418102264404,500.0,-3.8172950744628906,0.0007765894406475127,1.56
2859,,304,870000,,1728,,,500.0,,,1.56
2859,,304,870000,,1732,,,500.0,,,1.56
