train/n_updates,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss,train/learning_rate,time/total_timesteps,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_len_mean,train/critic_loss,train/ent_coef
9334,0.0,625,-17.062868118286133,0.00075,190000,-10.899062156677246,364,303,500.0,0.02008052170276642,0.003222661092877388
,0.0,625,,,190000,,368,303,500.0,,
,0.0,625,,,190000,,372,303,500.0,,
,0.0,625,,,190000,,376,303,500.0,,
,0.0,625,,,190000,,380,303,500.0,,
9834,0.0,658,-16.46379852294922,0.00075,200000,-8.62179946899414,384,303,500.0,0.02986207976937294,0.0027775284834206104
,0.0,658,,,200000,,388,303,500.0,,
,0.0,658,,,200000,,392,303,500.0,,
,0.0,658,,,200000,,396,303,500.0,,
,0.0,658,,,200000,,400,303,500.0,,
10334,0.0,691,-16.577133178710938,0.00075,210000,-1.5391860008239746,404,303,500.0,0.025658689439296722,0.0024488193448632956
,0.0,691,,,210000,,408,303,500.0,,
,0.0,691,,,210000,,412,303,500.0,,
,0.0,691,,,210000,,416,303,500.0,,
,0.0,691,,,210000,,420,303,500.0,,
10834,0.0,724,-15.893695831298828,0.00075,220000,1.776922345161438,424,303,500.0,0.021548310294747353,0.002389612840488553
,0.0,724,,,220000,,428,303,500.0,,
,0.0,724,,,220000,,432,303,500.0,,
,0.0,724,,,220000,,436,303,500.0,,
,0.0,724,,,220000,,440,303,500.0,,
11334,0.0,757,-15.308025360107422,0.00075,230000,-7.181860446929932,444,303,500.0,1.9735220670700073,0.002441774122416973
,0.0,757,,,230000,,448,303,500.0,,
,0.0,757,,,230000,,452,303,500.0,,
,0.0,757,,,230000,,456,303,500.0,,
,0.0,757,,,230000,,460,303,500.0,,
11834,0.0,790,-14.911521911621094,0.00075,240000,16.606889724731445,464,303,500.0,0.024211455136537552,0.002242589835077524
,0.0,790,,,240000,,468,303,500.0,,
,0.0,790,,,240000,,472,303,500.0,,
,0.0,790,,,240000,,476,303,500.0,,
,0.0,791,,,240000,,480,303,500.0,,
12334,0.0,824,-13.998092651367188,0.00075,250000,1.5108073949813843,484,303,500.0,0.014866029843688011,0.0021039012353867292
,0.0,824,,,250000,,488,303,500.0,,
,0.0,824,,,250000,,492,303,500.0,,
,0.0,824,,,250000,,496,303,500.0,,
,0.0,824,,,250000,,500,303,500.0,,
12834,0.0,857,-13.975303649902344,0.00075,260000,-2.8254027366638184,504,303,500.0,0.04513802379369736,0.0021641680505126715
,0.0,857,,,260000,,508,303,500.0,,
,0.0,857,,,260000,,512,303,500.0,,
,0.0,857,,,260000,,516,303,500.0,,
,0.0,857,,,260000,,520,303,500.0,,
13334,0.0,890,-14.235885620117188,0.00075,270000,-17.873916625976562,524,303,500.0,0.05547191947698593,0.002206076867878437
,0.0,890,,,270000,,528,303,500.0,,
,0.0,890,,,270000,,532,303,500.0,,
,0.0,890,,,270000,,536,303,500.0,,
,0.0,890,,,270000,,540,303,500.0,,
13834,0.0,922,-13.850862503051758,0.00075,280000,26.454322814941406,544,303,500.0,0.041354283690452576,0.0023769529070705175
,0.0,922,,,280000,,548,303,500.0,,
,0.0,922,,,280000,,552,303,500.0,,
,0.0,922,,,280000,,556,303,500.0,,
,0.0,922,,,280000,,560,303,500.0,,
14334,0.0,954,-13.298517227172852,0.00075,290000,3.632437229156494,564,303,500.0,0.017025213688611984,0.002118505537509918
,0.0,954,,,290000,,568,303,500.0,,
,0.0,954,,,290000,,572,303,500.0,,
,0.0,954,,,290000,,576,303,500.0,,
,0.0,954,,,290000,,580,303,500.0,,
14834,0.0,988,-13.109228134155273,0.00075,300000,0.04834175109863281,584,303,500.0,0.022382980212569237,0.002132773632183671
,0.0,988,,,300000,,588,303,500.0,,
,0.0,988,,,300000,,592,303,500.0,,
,0.0,988,,,300000,,596,303,500.0,,
,0.0,988,,,300000,,600,303,500.0,,
15334,0.0,1020,-12.643624305725098,0.00075,310000,-3.6660008430480957,604,303,500.0,0.01456047035753727,0.0020993396174162626
,0.0,1020,,,310000,,608,303,500.0,,
,0.0,1020,,,310000,,612,303,500.0,,
,0.0,1020,,,310000,,616,303,500.0,,
,0.0,1020,,,310000,,620,303,500.0,,
15834,0.0,1054,-12.566122055053711,0.00075,320000,4.015319347381592,624,303,500.0,0.013815454207360744,0.0020127950701862574
,0.0,1054,,,320000,,628,303,500.0,,
,0.0,1054,,,320000,,632,303,500.0,,
,0.0,1054,,,320000,,636,303,500.0,,
,0.0,1054,,,320000,,640,303,500.0,,
16334,0.0,1088,-12.083871841430664,0.00075,330000,-4.934548854827881,644,303,500.0,0.014724578708410263,0.002133188536390662
,0.0,1088,,,330000,,648,303,500.0,,
,0.0,1088,,,330000,,652,303,500.0,,
,0.0,1088,,,330000,,656,303,500.0,,
,0.0,1088,,,330000,,660,303,500.0,,
16834,0.0,1120,-12.206082344055176,0.00075,340000,-3.9089713096618652,664,303,500.0,0.013266133144497871,0.0019524275558069348
,0.0,1120,,,340000,,668,303,500.0,,
,0.0,1120,,,340000,,672,303,500.0,,
,0.0,1120,,,340000,,676,303,500.0,,
,0.0,1120,,,340000,,680,303,500.0,,
17334,0.0,1153,-11.95700740814209,0.00075,350000,-2.963717222213745,684,303,500.0,0.011329411529004574,0.001781556522473693
,0.0,1153,,,350000,,688,303,500.0,,
,0.0,1153,,,350000,,692,303,500.0,,
,0.0,1153,,,350000,,696,303,500.0,,
,0.0,1153,,,350000,,700,303,500.0,,
17834,0.0,1185,-11.239178657531738,0.00075,360000,-2.282188653945923,704,303,500.0,0.027751939371228218,0.0017445057164877653
,0.0,1185,,,360000,,708,303,500.0,,
,0.0,1185,,,360000,,712,303,500.0,,
,0.0,1185,,,360000,,716,303,500.0,,
,0.0,1185,,,360000,,720,303,500.0,,
18334,0.0,1218,-11.18313217163086,0.00075,370000,-7.508102893829346,724,303,500.0,1.000187635421753,0.0016530491411685944
,0.0,1218,,,370000,,728,303,500.0,,
,0.0,1218,,,370000,,732,303,500.0,,
,0.0,1218,,,370000,,736,303,500.0,,
,0.0,1218,,,370000,,740,303,500.0,,
18834,0.0,1251,-10.816058158874512,0.00075,380000,-15.304346084594727,744,303,500.0,0.014420634135603905,0.001821133540943265
,0.0,1251,,,380000,,748,303,500.0,,
,0.0,1251,,,380000,,752,303,500.0,,
,0.0,1251,,,380000,,756,303,500.0,,
,0.0,1251,,,380000,,760,303,500.0,,
19334,0.0,1283,-10.57575798034668,0.00075,390000,-11.313663482666016,764,303,500.0,0.010363519191741943,0.0018479579593986273
,0.0,1283,,,390000,,768,303,500.0,,
,0.0,1283,,,390000,,772,303,500.0,,
,0.0,1283,,,390000,,776,303,500.0,,
,0.0,1283,,,390000,,780,303,500.0,,
19834,0.0,1315,-10.494300842285156,0.00075,400000,7.343116760253906,784,304,500.0,0.008128639310598373,0.0015748253790661693
,0.0,1315,,,400000,,788,304,500.0,,
,0.0,1315,,,400000,,792,304,500.0,,
,0.0,1315,,,400000,,796,304,500.0,,
,0.0,1315,,,400000,,800,304,500.0,,
20334,0.0,1349,-10.201982498168945,0.00075,410000,13.20798397064209,804,303,500.0,0.009800491854548454,0.0013972066808491945
,0.0,1349,,,410000,,808,303,500.0,,
,0.0,1349,,,410000,,812,303,500.0,,
,0.0,1349,,,410000,,816,303,500.0,,
,0.0,1349,,,410000,,820,303,500.0,,
20834,0.0,1382,-9.676286697387695,0.00075,420000,-11.470455169677734,824,303,500.0,0.5117936134338379,0.0016977882478386164
,0.0,1382,,,420000,,828,303,500.0,,
,0.0,1382,,,420000,,832,303,500.0,,
,0.0,1382,,,420000,,836,303,500.0,,
,0.0,1382,,,420000,,840,303,500.0,,
21334,0.0,1415,-9.849031448364258,0.00075,430000,-1.3441780805587769,844,303,500.0,0.006711058784276247,0.0013666084269061685
,0.0,1415,,,430000,,848,303,500.0,,
,0.0,1415,,,430000,,852,303,500.0,,
,0.0,1415,,,430000,,856,303,500.0,,
,0.0,1415,,,430000,,860,303,500.0,,
21834,0.0,1447,-9.247139930725098,0.00075,440000,7.9486403465271,864,304,500.0,0.019862432032823563,0.0014654970727860928
,0.0,1447,,,440000,,868,304,500.0,,
,0.0,1447,,,440000,,872,304,500.0,,
,0.0,1447,,,440000,,876,304,500.0,,
,0.0,1447,,,440000,,880,304,500.0,,
22334,0.0,1479,-9.196277618408203,0.00075,450000,-7.022745132446289,884,304,500.0,0.009580535814166069,0.0013740182621404529
,0.0,1479,,,450000,,888,304,500.0,,
,0.0,1479,,,450000,,892,304,500.0,,
,0.0,1479,,,450000,,896,304,500.0,,
,0.0,1479,,,450000,,900,304,500.0,,
22834,0.0,1511,-8.998064994812012,0.00075,460000,-5.773884296417236,904,304,500.0,0.008399348706007004,0.0013029963010922074
,0.0,1511,,,460000,,908,304,500.0,,
,0.0,1511,,,460000,,912,304,500.0,,
,0.0,1511,,,460000,,916,304,500.0,,
,0.0,1511,,,460000,,920,304,500.0,,
23334,0.0,1543,-8.825727462768555,0.00075,470000,-2.7763121128082275,924,304,500.0,0.35826393961906433,0.0013146694982424378
,0.0,1543,,,470000,,928,304,500.0,,
,0.0,1543,,,470000,,932,304,500.0,,
,0.0,1543,,,470000,,936,304,500.0,,
,0.0,1543,,,470000,,940,304,500.0,,
23834,0.0,1576,-8.428197860717773,0.00075,480000,11.348724365234375,944,304,500.0,0.9068279266357422,0.0012704270193353295
,0.0,1576,,,480000,,948,304,500.0,,
,0.0,1576,,,480000,,952,304,500.0,,
,0.0,1576,,,480000,,956,304,500.0,,
,0.0,1576,,,480000,,960,304,500.0,,
24334,0.0,1609,-8.435468673706055,0.00075,490000,2.8234634399414062,964,304,500.0,0.007875461131334305,0.001178051345050335
,0.0,1609,,,490000,,968,304,500.0,,
,0.0,1609,,,490000,,972,304,500.0,,
,0.0,1609,,,490000,,976,304,500.0,,
,0.0,1609,,,490000,,980,304,500.0,,
24834,0.0,1642,-8.191146850585938,0.00075,500000,-1.7876250743865967,984,304,500.0,0.5423849821090698,0.0011541441781446338
,0.0,1642,,,500000,,988,304,500.0,,
,0.0,1642,,,500000,,992,304,500.0,,
,0.0,1642,,,500000,,996,304,500.0,,
,0.0,1642,,,500000,,1000,304,500.0,,
25334,0.0,1675,-8.051166534423828,0.00075,510000,1.4565763473510742,1004,304,500.0,0.007542561274021864,0.0011823908425867558
,0.0,1675,,,510000,,1008,304,500.0,,
,0.0,1675,,,510000,,1012,304,500.0,,
,0.0,1675,,,510000,,1016,304,500.0,,
,0.0,1675,,,510000,,1020,304,500.0,,
25834,0.0,1708,-8.10245132446289,0.00075,520000,-3.759016513824463,1024,304,500.0,0.0046625882387161255,0.001080279122106731
,0.0,1708,,,520000,,1028,304,500.0,,
,0.0,1708,,,520000,,1032,304,500.0,,
,0.0,1708,,,520000,,1036,304,500.0,,
,0.0,1708,,,520000,,1040,304,500.0,,
26334,0.0,1741,-7.644049167633057,0.00075,530000,16.672027587890625,1044,304,500.0,0.011247825808823109,0.0012031253427267075
,0.0,1741,,,530000,,1048,304,500.0,,
,0.0,1741,,,530000,,1052,304,500.0,,
,0.0,1741,,,530000,,1056,304,500.0,,
,0.0,1741,,,530000,,1060,304,500.0,,
26834,0.0,1773,-7.4308905601501465,0.00075,540000,0.38810253143310547,1064,304,500.0,0.0033106086775660515,0.0012195040471851826
,0.0,1773,,,540000,,1068,304,500.0,,
,0.0,1773,,,540000,,1072,304,500.0,,
,0.0,1773,,,540000,,1076,304,500.0,,
,0.0,1773,,,540000,,1080,304,500.0,,
27334,0.0,1806,-7.378385543823242,0.00075,550000,5.42531681060791,1084,304,500.0,0.0031908033415675163,0.0009992177365347743
,0.0,1806,,,550000,,1088,304,500.0,,
,0.0,1806,,,550000,,1092,304,500.0,,
,0.0,1806,,,550000,,1096,304,500.0,,
,0.0,1806,,,550000,,1100,304,500.0,,
27834,0.0,1839,-7.097662448883057,0.00075,560000,-7.419531345367432,1104,304,500.0,0.006610852666199207,0.0009509443189017475
,0.0,1839,,,560000,,1108,304,500.0,,
,0.0,1839,,,560000,,1112,304,500.0,,
,0.0,1839,,,560000,,1116,304,500.0,,
,0.0,1839,,,560000,,1120,304,500.0,,
28334,0.0,1871,-6.851592063903809,0.00075,570000,6.0742878913879395,1124,304,500.0,0.005568589083850384,0.0008730930276215076
,0.0,1871,,,570000,,1128,304,500.0,,
,0.0,1871,,,570000,,1132,304,500.0,,
,0.0,1871,,,570000,,1136,304,500.0,,
,0.0,1871,,,570000,,1140,304,500.0,,
28834,0.0,1902,-6.997964859008789,0.00075,580000,-4.19516658782959,1144,304,500.0,0.006738691125065088,0.0009442146401852369
,0.0,1902,,,580000,,1148,304,500.0,,
,0.0,1902,,,580000,,1152,304,500.0,,
,0.0,1902,,,580000,,1156,304,500.0,,
,0.0,1902,,,580000,,1160,304,500.0,,
29334,0.0,1935,-6.714688777923584,0.00075,590000,-9.740436553955078,1164,304,500.0,0.5297773480415344,0.0009859893471002579
,0.0,1935,,,590000,,1168,304,500.0,,
,0.0,1935,,,590000,,1172,304,500.0,,
,0.0,1935,,,590000,,1176,304,500.0,,
,0.0,1935,,,590000,,1180,304,500.0,,
29834,0.0,1967,-6.4960455894470215,0.00075,600000,5.031108856201172,1184,304,500.0,0.003007203806191683,0.0009630460990592837
,0.0,1967,,,600000,,1188,304,500.0,,
,0.0,1967,,,600000,,1192,304,500.0,,
,0.0,1967,,,600000,,1196,304,500.0,,
,0.0,1967,,,600000,,1200,304,500.0,,
30334,0.0,2000,-6.484341621398926,0.00075,610000,23.874656677246094,1204,304,500.0,0.004120391793549061,0.0009008040651679039
,0.0,2000,,,610000,,1208,304,500.0,,
,0.0,2000,,,610000,,1212,304,500.0,,
,0.0,2000,,,610000,,1216,304,500.0,,
,0.0,2000,,,610000,,1220,304,500.0,,
30834,0.0,2034,-6.314614295959473,0.00075,620000,2.673354387283325,1224,304,500.0,0.0051668197847902775,0.0009494952973909676
,0.0,2034,,,620000,,1228,304,500.0,,
,0.0,2034,,,620000,,1232,304,500.0,,
,0.0,2034,,,620000,,1236,304,500.0,,
,0.0,2034,,,620000,,1240,304,500.0,,
31334,0.0,2067,-6.197308540344238,0.00075,630000,-6.326277732849121,1244,304,500.0,0.0026019534561783075,0.0009084823541343212
,0.0,2067,,,630000,,1248,304,500.0,,
,0.0,2067,,,630000,,1252,304,500.0,,
,0.0,2067,,,630000,,1256,304,500.0,,
,0.0,2068,,,630000,,1260,304,500.0,,
31834,0.0,2099,-6.082940578460693,0.00075,640000,-9.318487167358398,1264,304,500.0,0.002453543245792389,0.0008185969199985266
,0.0,2099,,,640000,,1268,304,500.0,,
,0.0,2099,,,640000,,1272,304,500.0,,
,0.0,2099,,,640000,,1276,304,500.0,,
,0.0,2099,,,640000,,1280,304,500.0,,
32334,0.0,2132,-5.8844895362854,0.00075,650000,13.794073104858398,1284,304,500.0,0.00218725367449224,0.0008208706858567894
,0.0,2132,,,650000,,1288,304,500.0,,
,0.0,2132,,,650000,,1292,304,500.0,,
,0.0,2132,,,650000,,1296,304,500.0,,
,0.0,2132,,,650000,,1300,304,500.0,,
32834,0.0,2164,-5.721837997436523,0.00075,660000,-6.042793273925781,1304,304,500.0,0.005753293167799711,0.0007790406816639006
,0.0,2164,,,660000,,1308,304,500.0,,
,0.0,2164,,,660000,,1312,304,500.0,,
,0.0,2164,,,660000,,1316,304,500.0,,
,0.0,2164,,,660000,,1320,304,500.0,,
33334,0.0,2196,-5.652318954467773,0.00075,670000,-13.667244911193848,1324,305,500.0,0.002500512171536684,0.0006668891874141991
,0.0,2196,,,670000,,1328,305,500.0,,
,0.0,2196,,,670000,,1332,305,500.0,,
,0.0,2196,,,670000,,1336,305,500.0,,
,0.0,2196,,,670000,,1340,305,500.0,,
33834,0.0,2229,-5.438387870788574,0.00075,680000,3.0649056434631348,1344,305,500.0,0.0025503337383270264,0.0006195075693540275
,0.0,2229,,,680000,,1348,305,500.0,,
,0.0,2229,,,680000,,1352,305,500.0,,
,0.0,2229,,,680000,,1356,305,500.0,,
,0.0,2229,,,680000,,1360,305,500.0,,
34334,0.0,2260,-5.369285583496094,0.00075,690000,8.416814804077148,1364,305,500.0,0.0028705433942377567,0.0007332615787163377
,0.0,2260,,,690000,,1368,305,500.0,,
,0.0,2260,,,690000,,1372,305,500.0,,
,0.0,2260,,,690000,,1376,305,500.0,,
,0.0,2260,,,690000,,1380,305,500.0,,
34834,0.0,2293,-5.252315998077393,0.00075,700000,-14.83342170715332,1384,305,500.0,0.0017174400854855776,0.0006932387477718294
,0.0,2293,,,700000,,1388,305,500.0,,
,0.0,2293,,,700000,,1392,305,500.0,,
,0.0,2293,,,700000,,1396,305,500.0,,
,0.0,2293,,,700000,,1400,305,500.0,,
35334,0.0,2325,-5.033344268798828,0.00075,710000,9.631114959716797,1404,305,500.0,0.004492497071623802,0.0007092288578860462
,0.0,2325,,,710000,,1408,305,500.0,,
,0.0,2325,,,710000,,1412,305,500.0,,
,0.0,2325,,,710000,,1416,305,500.0,,
,0.0,2325,,,710000,,1420,305,500.0,,
35834,0.0,2357,-4.8839921951293945,0.00075,720000,-1.2823562622070312,1424,305,500.0,0.003126361407339573,0.0006885787006467581
,0.0,2357,,,720000,,1428,305,500.0,,
,0.0,2357,,,720000,,1432,305,500.0,,
,0.0,2357,,,720000,,1436,305,500.0,,
,0.0,2357,,,720000,,1440,305,500.0,,
36334,0.0,2390,-4.845952033996582,0.00075,730000,-1.6812841892242432,1444,305,500.0,0.12073160707950592,0.0006391843780875206
,0.0,2390,,,730000,,1448,305,500.0,,
,0.0,2390,,,730000,,1452,305,500.0,,
,0.0,2390,,,730000,,1456,305,500.0,,
,0.0,2390,,,730000,,1460,305,500.0,,
36834,0.0,2422,-4.774007797241211,0.00075,740000,-2.024030923843384,1464,305,500.0,0.0016119611682370305,0.0006534383282996714
,0.0,2422,,,740000,,1468,305,500.0,,
,0.0,2422,,,740000,,1472,305,500.0,,
,0.0,2422,,,740000,,1476,305,500.0,,
,0.0,2422,,,740000,,1480,305,500.0,,
37334,0.0,2455,-4.635197639465332,0.00075,750000,-7.378206729888916,1484,305,500.0,0.004509358666837215,0.0006126802763901651
,0.0,2455,,,750000,,1488,305,500.0,,
,0.0,2455,,,750000,,1492,305,500.0,,
,0.0,2455,,,750000,,1496,305,500.0,,
,0.0,2455,,,750000,,1500,305,500.0,,
37834,0.0,2487,-4.551883220672607,0.00075,760000,-2.6891345977783203,1504,305,500.0,0.0014439052902162075,0.0005912191118113697
,0.0,2487,,,760000,,1508,305,500.0,,
,0.0,2487,,,760000,,1512,305,500.0,,
,0.0,2487,,,760000,,1516,305,500.0,,
,0.0,2487,,,760000,,1520,305,500.0,,
38334,0.0,2520,-4.470253944396973,0.00075,770000,-14.042619705200195,1524,305,500.0,0.001982930116355419,0.000630982918664813
,0.0,2520,,,770000,,1528,305,500.0,,
,0.0,2520,,,770000,,1532,305,500.0,,
,0.0,2520,,,770000,,1536,305,500.0,,
,0.0,2520,,,770000,,1540,305,500.0,,
38834,0.0,2553,-4.163954734802246,0.00075,780000,3.6138086318969727,1544,305,500.0,0.002501819748431444,0.0006032706587575376
,0.0,2553,,,780000,,1548,305,500.0,,
,0.0,2553,,,780000,,1552,305,500.0,,
,0.0,2553,,,780000,,1556,305,500.0,,
,0.0,2553,,,780000,,1560,305,500.0,,
39334,0.0,2587,-4.151422500610352,0.00075,790000,-2.9187960624694824,1564,305,500.0,0.002775724744424224,0.0005285095539875329
,0.0,2587,,,790000,,1568,305,500.0,,
,0.0,2587,,,790000,,1572,305,500.0,,
,0.0,2587,,,790000,,1576,305,500.0,,
,0.0,2587,,,790000,,1580,305,500.0,,
39834,0.0,2621,-4.062006950378418,0.00075,800000,-7.639394760131836,1584,305,500.0,0.0023773969151079655,0.0005829460569657385
,0.0,2621,,,800000,,1588,305,500.0,,
,0.0,2621,,,800000,,1592,305,500.0,,
,0.0,2621,,,800000,,1596,305,500.0,,
,0.0,2621,,,800000,,1600,305,500.0,,
40334,0.0,2654,-3.921478509902954,0.00075,810000,-8.309919357299805,1604,305,500.0,0.0009096820140257478,0.0005429501179605722
,0.0,2654,,,810000,,1608,305,500.0,,
,0.0,2654,,,810000,,1612,305,500.0,,
,0.0,2654,,,810000,,1616,305,500.0,,
,0.0,2654,,,810000,,1620,305,500.0,,
40834,0.0,2687,-3.9078903198242188,0.00075,820000,-2.654193639755249,1624,305,500.0,0.05467190593481064,0.0004988551954738796
,0.0,2687,,,820000,,1628,305,500.0,,
,0.0,2687,,,820000,,1632,305,500.0,,
,0.0,2687,,,820000,,1636,305,500.0,,
,0.0,2687,,,820000,,1640,305,500.0,,
41334,0.0,2718,-3.8096275329589844,0.00075,830000,19.13641929626465,1644,305,500.0,0.08593177795410156,0.0005127863842062652
,0.0,2718,,,830000,,1648,305,500.0,,
,0.0,2718,,,830000,,1652,305,500.0,,
,0.0,2718,,,830000,,1656,305,500.0,,
,0.0,2718,,,830000,,1660,305,500.0,,
41834,0.0,2752,-3.740647077560425,0.00075,840000,-9.846359252929688,1664,305,500.0,0.0009984131902456284,0.0005149085773155093
,0.0,2752,,,840000,,1668,305,500.0,,
,0.0,2752,,,840000,,1672,305,500.0,,
,0.0,2752,,,840000,,1676,305,500.0,,
,0.0,2752,,,840000,,1680,305,500.0,,
42334,0.0,2784,-3.5770785808563232,0.00075,850000,-17.649023056030273,1684,305,500.0,0.0029658181592822075,0.0005031044711358845
,0.0,2784,,,850000,,1688,305,500.0,,
,0.0,2784,,,850000,,1692,305,500.0,,
,0.0,2784,,,850000,,1696,305,500.0,,
,0.0,2784,,,850000,,1700,305,500.0,,
42834,0.0,2818,-3.5303332805633545,0.00075,860000,9.882884979248047,1704,305,500.0,0.002991702174767852,0.00047501985682174563
,0.0,2818,,,860000,,1708,305,500.0,,
,0.0,2818,,,860000,,1712,305,500.0,,
,0.0,2818,,,860000,,1716,305,500.0,,
,0.0,2818,,,860000,,1720,305,500.0,,
43334,0.0,2851,-3.3827037811279297,0.00075,870000,-19.490995407104492,1724,305,500.0,0.18186701834201813,0.00042890594340860844
,0.0,2851,,,870000,,1728,305,500.0,,
