rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/ent_coef,train/learning_rate,time/episodes,train/actor_loss,train/ent_coef_loss,time/time_elapsed,train/critic_loss,time/fps,time/total_timesteps
500.0,334,0.0,0.7789096236228943,0.00075,4,-11.930633544921875,-2.9362587928771973,22,0.049002133309841156,445,10000
500.0,,0.0,,,8,,,22,,445,10000
500.0,,0.0,,,12,,,22,,445,10000
500.0,,0.0,,,16,,,22,,444,10000
500.0,,0.0,,,20,,,22,,444,10000
500.0,834,0.0,0.5352213382720947,0.00075,24,-16.153751373291016,-7.355172157287598,47,0.058442048728466034,423,20000
500.0,,0.0,,,28,,,47,,423,20000
500.0,,0.0,,,32,,,47,,423,20000
500.0,,0.0,,,36,,,47,,423,20000
500.0,,0.0,,,40,,,47,,423,20000
500.0,1334,0.0,0.3677985966205597,0.00075,44,-18.892993927001953,-11.750630378723145,72,0.06273375451564789,415,30000
500.0,,0.0,,,48,,,72,,415,30000
500.0,,0.0,,,52,,,72,,415,30000
500.0,,0.0,,,56,,,72,,415,30000
500.0,,0.0,,,60,,,72,,415,30000
500.0,1834,0.0,0.252782940864563,0.00075,64,-20.527175903320312,-16.198373794555664,97,0.13576023280620575,408,40000
500.0,,0.0,,,68,,,97,,408,40000
500.0,,0.0,,,72,,,97,,408,40000
500.0,,0.0,,,76,,,97,,408,40000
500.0,,0.0,,,80,,,97,,408,40000
500.0,2334,0.0,0.17379771173000336,0.00075,84,-21.82608413696289,-20.42156982421875,123,0.02816314995288849,403,50000
500.0,,0.0,,,88,,,123,,403,50000
500.0,,0.0,,,92,,,123,,403,50000
500.0,,0.0,,,96,,,123,,403,50000
500.0,,0.0,,,100,,,123,,403,50000
500.0,2834,0.0,0.1195412203669548,0.00075,104,-22.27600860595703,-24.809803009033203,149,0.04100383073091507,401,60000
500.0,,0.0,,,108,,,149,,401,60000
500.0,,0.0,,,112,,,149,,401,60000
500.0,,0.0,,,116,,,149,,401,60000
500.0,,0.0,,,120,,,149,,401,60000
500.0,3334,0.0,0.08232241868972778,0.00075,124,-22.308361053466797,-28.88585090637207,175,0.03974369168281555,398,70000
500.0,,0.0,,,128,,,175,,398,70000
500.0,,0.0,,,132,,,175,,398,70000
500.0,,0.0,,,136,,,175,,398,70000
500.0,,0.0,,,140,,,175,,398,70000
500.0,3834,0.0,0.056766822934150696,0.00075,144,-22.233245849609375,-31.956321716308594,201,0.026187138631939888,396,80000
500.0,,0.0,,,148,,,201,,396,80000
500.0,,0.0,,,152,,,201,,396,80000
500.0,,0.0,,,156,,,201,,396,80000
500.0,,0.0,,,160,,,201,,396,80000
500.0,4334,0.0,0.039335545152425766,0.00075,164,-21.82508087158203,-36.76713562011719,227,0.04760756343603134,395,90000
500.0,,0.0,,,168,,,227,,395,90000
500.0,,0.0,,,172,,,227,,395,90000
500.0,,0.0,,,176,,,227,,395,90000
500.0,,0.0,,,180,,,227,,395,90000
500.0,4834,0.0,0.027383405715227127,0.00075,184,-21.53963851928711,-40.045166015625,252,0.02618212066590786,395,100000
500.0,,0.0,,,188,,,252,,395,100000
500.0,,0.0,,,192,,,252,,395,100000
500.0,,0.0,,,196,,,252,,395,100000
500.0,,0.0,,,200,,,252,,395,100000
500.0,5334,0.0,0.01926446333527565,0.00075,204,-20.939071655273438,-43.415687561035156,278,3.6541547775268555,395,110000
500.0,,0.0,,,208,,,278,,395,110000
500.0,,0.0,,,212,,,278,,395,110000
500.0,,0.0,,,216,,,278,,395,110000
500.0,,0.0,,,220,,,278,,395,110000
500.0,5834,1.01,0.013790762983262539,0.00075,224,-20.21755599975586,-35.377784729003906,304,0.04749881476163864,393,120000
500.0,,1.01,,,228,,,304,,393,120000
500.0,,1.01,,,232,,,304,,393,120000
500.0,,1.01,,,236,,,304,,393,120000
500.0,,1.01,,,240,,,304,,393,120000
500.0,6334,1.01,0.010186000727117062,0.00075,244,-19.841110229492188,-34.73229217529297,330,0.02437177300453186,393,130000
500.0,,1.01,,,248,,,330,,393,130000
500.0,,1.01,,,252,,,330,,393,130000
500.0,,1.01,,,256,,,330,,393,130000
500.0,,1.01,,,260,,,330,,393,130000
500.0,6834,1.01,0.007828053086996078,0.00075,264,-18.691909790039062,-16.07162857055664,355,0.015001146122813225,393,140000
500.0,,1.01,,,268,,,355,,393,140000
500.0,,1.01,,,272,,,355,,393,140000
500.0,,1.01,,,276,,,355,,393,140000
500.0,,1.01,,,280,,,355,,393,140000
500.0,7334,1.01,0.006260881200432777,0.00075,284,-18.36300277709961,-25.838939666748047,382,0.014175284653902054,392,150000
500.0,,1.01,,,288,,,382,,392,150000
500.0,,1.01,,,292,,,382,,392,150000
500.0,,1.01,,,296,,,382,,392,150000
500.0,,1.01,,,300,,,382,,392,150000
500.0,7834,1.01,0.00507801678031683,0.00075,304,-17.34954833984375,-12.068351745605469,408,0.028420597314834595,391,160000
500.0,,1.01,,,308,,,408,,391,160000
500.0,,1.01,,,312,,,408,,391,160000
500.0,,1.01,,,316,,,408,,391,160000
500.0,,1.01,,,320,,,408,,391,160000
500.0,8334,0.0,0.0043518333695828915,0.00075,324,-17.048934936523438,-10.117511749267578,434,2.406132698059082,391,170000
500.0,,0.0,,,328,,,434,,391,170000
500.0,,0.0,,,332,,,434,,391,170000
500.0,,0.0,,,336,,,434,,391,170000
500.0,,0.0,,,340,,,434,,391,170000
500.0,8834,0.02,0.0038609395269304514,0.00075,344,-16.95001983642578,-7.324256420135498,460,0.7054616212844849,390,180000
500.0,,0.02,,,348,,,460,,390,180000
500.0,,0.02,,,352,,,460,,390,180000
500.0,,0.02,,,356,,,460,,390,180000
500.0,,0.02,,,360,,,460,,390,180000
500.0,9334,1.69,0.0035224445164203644,0.00075,364,-16.462905883789062,-3.6882686614990234,486,0.033040840178728104,390,190000
500.0,,1.69,,,368,,,486,,390,190000
500.0,,1.69,,,372,,,486,,390,190000
500.0,,1.69,,,376,,,486,,390,190000
500.0,,1.69,,,380,,,486,,390,190000
500.0,9834,6.85,0.0032004299573600292,0.00075,384,-15.999855041503906,-19.246084213256836,513,0.028004657477140427,389,200000
500.0,,6.85,,,388,,,513,,389,200000
500.0,,6.85,,,392,,,513,,389,200000
500.0,,6.85,,,396,,,513,,389,200000
500.0,,6.85,,,400,,,513,,389,200000
500.0,10334,6.97,0.0031295213848352432,0.00075,404,-15.613790512084961,0.7837063074111938,539,0.054196037352085114,389,210000
500.0,,6.97,,,408,,,539,,389,210000
500.0,,6.97,,,412,,,539,,389,210000
500.0,,6.97,,,416,,,539,,389,210000
500.0,,6.97,,,420,,,539,,389,210000
500.0,10834,7.3,0.0028761804569512606,0.00075,424,-15.531379699707031,-0.5512199997901917,565,0.07483185082674026,389,220000
500.0,,7.3,,,428,,,565,,389,220000
500.0,,7.3,,,432,,,565,,389,220000
500.0,,7.3,,,436,,,565,,389,220000
500.0,,7.3,,,440,,,565,,389,220000
500.0,11334,7.87,0.0027281073853373528,0.00075,444,-15.099138259887695,11.288456916809082,591,0.05362177640199661,389,230000
500.0,,7.87,,,448,,,591,,389,230000
500.0,,7.87,,,452,,,591,,389,230000
500.0,,7.87,,,456,,,591,,389,230000
500.0,,7.87,,,460,,,591,,389,230000
500.0,11834,6.82,0.0027226984966546297,0.00075,464,-14.664111137390137,4.888498306274414,617,1.9714162349700928,388,240000
500.0,,6.82,,,468,,,617,,388,240000
500.0,,6.82,,,472,,,617,,388,240000
500.0,,6.82,,,476,,,617,,388,240000
500.0,,6.82,,,480,,,617,,388,240000
